operator;material_percentage;stars;elite;skill_level;s1_mastery;s2_mastery;s3_mastery;skill_upgrade_resources;elite1_resources;elite2_resources;elite_resources;mastery_resources;total_resources;spent_resources;needed_resources;needed_material_quantity;total_material_quantity
GreyThroat;40.68;5;1;7;0;0;0;"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
3x Sugar
5x Polyester
3x Integrated Device
6x Skill Summary - 3
2x Manganese Ore
3x RMA70-12";"20000x LMD
4x Sniper Chip
7x Orirock Cube
3x Oriron";"120000x LMD
3x Sniper Dualchip
7x Oriron Block
9x Integrated Device";"140000x LMD
4x Sniper Chip
7x Orirock Cube
3x Oriron
3x Sniper Dualchip
7x Oriron Block
9x Integrated Device";"42x Skill Summary - 3
9x Optimized Device
3x Oriron Cluster
3x Manganese Trihydrate
4x Bipolar Nanoflake
4x Orirock Concentration
9x White Horse Kohl
5x Aketon
3x Grindstone Pentahydrate
4x Polymerization Preparation";"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
3x Sugar
5x Polyester
12x Integrated Device
48x Skill Summary - 3
2x Manganese Ore
3x RMA70-12
140000x LMD
4x Sniper Chip
7x Orirock Cube
3x Oriron
3x Sniper Dualchip
7x Oriron Block
9x Optimized Device
3x Oriron Cluster
3x Manganese Trihydrate
4x Bipolar Nanoflake
4x Orirock Concentration
9x White Horse Kohl
5x Aketon
3x Grindstone Pentahydrate
4x Polymerization Preparation";"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
3x Sugar
5x Polyester
3x Integrated Device
6x Skill Summary - 3
2x Manganese Ore
3x RMA70-12
20000x LMD
4x Sniper Chip
7x Orirock Cube
3x Oriron";"9x Integrated Device
42x Skill Summary - 3
120000x LMD
3x Sniper Dualchip
7x Oriron Block
9x Optimized Device
3x Oriron Cluster
3x Manganese Trihydrate
4x Bipolar Nanoflake
4x Orirock Concentration
9x White Horse Kohl
5x Aketon
3x Grindstone Pentahydrate
4x Polymerization Preparation";105;177
Grani;41.88;5;1;7;0;0;0;"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
3x Sugar
5x Polyester
4x Oriron Cluster
6x Skill Summary - 3
2x Aketon
4x Loxic Kohl";"20000x LMD
4x Vanguard Chip
8x Orirock Cube
8x Sugar";"120000x LMD
3x Vanguard Dualchip
7x RMA70-24
13x Oriron Cluster";"140000x LMD
4x Vanguard Chip
8x Orirock Cube
8x Sugar
3x Vanguard Dualchip
7x RMA70-24
13x Oriron Cluster";"42x Skill Summary - 3
6x Optimized Device
3x Oriron Cluster
3x Manganese Trihydrate
4x D32 Steel
14x White Horse Kohl
5x Aketon
3x Grindstone Pentahydrate
4x Polymerization Preparation
4x RMA70-24";"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
11x Sugar
5x Polyester
20x Oriron Cluster
48x Skill Summary - 3
7x Aketon
4x Loxic Kohl
140000x LMD
4x Vanguard Chip
8x Orirock Cube
3x Vanguard Dualchip
11x RMA70-24
6x Optimized Device
3x Manganese Trihydrate
4x D32 Steel
14x White Horse Kohl
3x Grindstone Pentahydrate
4x Polymerization Preparation";"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
11x Sugar
5x Polyester
4x Oriron Cluster
6x Skill Summary - 3
2x Aketon
4x Loxic Kohl
20000x LMD
4x Vanguard Chip
8x Orirock Cube";"16x Oriron Cluster
42x Skill Summary - 3
5x Aketon
120000x LMD
3x Vanguard Dualchip
11x RMA70-24
6x Optimized Device
3x Manganese Trihydrate
4x D32 Steel
14x White Horse Kohl
3x Grindstone Pentahydrate
4x Polymerization Preparation";111;191
Glaucus;13.22;5;1;3;0;0;0;"8x Skill Summary - 1
5x Diketon
18x Skill Summary - 2
2x Device
8x Orirock Cube
4x Manganese Ore
6x Skill Summary - 3
2x Grindstone
4x Orirock Cluster";"20000x LMD
4x Supporter Chip
4x Polyketon
2x Device";"120000x LMD
3x Supporter Dualchip
7x Keton Colloid
10x Integrated Device";"140000x LMD
4x Supporter Chip
4x Polyketon
2x Device
3x Supporter Dualchip
7x Keton Colloid
10x Integrated Device";"42x Skill Summary - 3
9x Orirock Concentration
4x Grindstone
7x Polyester Lump
4x Bipolar Nanoflake
8x Sugar Lump
3x RMA70-12
6x Oriron Block
4x D32 Steel";"8x Skill Summary - 1
5x Diketon
18x Skill Summary - 2
4x Device
8x Orirock Cube
4x Manganese Ore
48x Skill Summary - 3
6x Grindstone
4x Orirock Cluster
140000x LMD
4x Supporter Chip
4x Polyketon
3x Supporter Dualchip
7x Keton Colloid
10x Integrated Device
9x Orirock Concentration
7x Polyester Lump
4x Bipolar Nanoflake
8x Sugar Lump
3x RMA70-12
6x Oriron Block
4x D32 Steel";"8x Skill Summary - 1
5x Diketon
20000x LMD
4x Supporter Chip
4x Polyketon
2x Device";"18x Skill Summary - 2
2x Device
8x Orirock Cube
4x Manganese Ore
48x Skill Summary - 3
6x Grindstone
4x Orirock Cluster
120000x LMD
3x Supporter Dualchip
7x Keton Colloid
10x Integrated Device
9x Orirock Concentration
7x Polyester Lump
4x Bipolar Nanoflake
8x Sugar Lump
3x RMA70-12
6x Oriron Block
4x D32 Steel";151;174
Frost;38.55;5;1;7;0;0;0;"8x Skill Summary - 1
7x Ester
18x Skill Summary - 2
3x Oriron
4x Polyketon
5x Orirock Cluster
6x Skill Summary - 3
3x Coagulating Gel
2x Oriron Cluster";"20000x LMD
4x Specialist Chip
5x Polyester
4x Orirock Cube";"120000x LMD
3x Specialist Dualchip
8x Grindstone Pentahydrate
17x Orirock Cluster";"140000x LMD
4x Specialist Chip
5x Polyester
4x Orirock Cube
3x Specialist Dualchip
8x Grindstone Pentahydrate
17x Orirock Cluster";"42x Skill Summary - 3
3x Oriron Block
1x Incandescent Alloy
3x Manganese Trihydrate
7x Optimized Device
4x D32 Steel
7x Grindstone Pentahydrate
3x Keton Colloid
2x Coagulating Gel
6x White Horse Kohl
4x Crystalline Electroassembly";"8x Skill Summary - 1
7x Ester
18x Skill Summary - 2
3x Oriron
4x Polyketon
22x Orirock Cluster
48x Skill Summary - 3
5x Coagulating Gel
2x Oriron Cluster
140000x LMD
4x Specialist Chip
5x Polyester
4x Orirock Cube
3x Specialist Dualchip
15x Grindstone Pentahydrate
3x Oriron Block
1x Incandescent Alloy
3x Manganese Trihydrate
7x Optimized Device
4x D32 Steel
3x Keton Colloid
6x White Horse Kohl
4x Crystalline Electroassembly";"8x Skill Summary - 1
7x Ester
18x Skill Summary - 2
3x Oriron
4x Polyketon
5x Orirock Cluster
6x Skill Summary - 3
3x Coagulating Gel
2x Oriron Cluster
20000x LMD
4x Specialist Chip
5x Polyester
4x Orirock Cube";"17x Orirock Cluster
42x Skill Summary - 3
2x Coagulating Gel
120000x LMD
3x Specialist Dualchip
15x Grindstone Pentahydrate
3x Oriron Block
1x Incandescent Alloy
3x Manganese Trihydrate
7x Optimized Device
4x D32 Steel
3x Keton Colloid
6x White Horse Kohl
4x Crystalline Electroassembly";110;179
Franka;18.39;5;1;4;0;0;0;"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
3x Polyketon
3x Device
4x Loxic Kohl
6x Skill Summary - 3
2x Manganese Ore
3x RMA70-12";"20000x LMD
4x Guard Chip
4x Oriron
2x Polyketon";"120000x LMD
3x Guard Dualchip
6x Oriron Block
18x Sugar Pack";"140000x LMD
4x Guard Chip
4x Oriron
2x Polyketon
3x Guard Dualchip
6x Oriron Block
18x Sugar Pack";"42x Skill Summary - 3
9x Grindstone Pentahydrate
4x Loxic Kohl
3x Orirock Concentration
4x Polymerization Preparation
3x Optimized Device
8x RMA70-24
2x Manganese Ore
3x Sugar Lump
4x Bipolar Nanoflake
3x Oriron Block";"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
5x Polyketon
3x Device
8x Loxic Kohl
48x Skill Summary - 3
4x Manganese Ore
3x RMA70-12
140000x LMD
4x Guard Chip
4x Oriron
3x Guard Dualchip
9x Oriron Block
18x Sugar Pack
9x Grindstone Pentahydrate
3x Orirock Concentration
4x Polymerization Preparation
3x Optimized Device
8x RMA70-24
3x Sugar Lump
4x Bipolar Nanoflake";"8x Skill Summary - 1
5x Oriron Shard
6x Skill Summary - 2
5x Polyketon
20000x LMD
4x Guard Chip
4x Oriron";"12x Skill Summary - 2
3x Device
8x Loxic Kohl
48x Skill Summary - 3
4x Manganese Ore
3x RMA70-12
120000x LMD
3x Guard Dualchip
9x Oriron Block
18x Sugar Pack
9x Grindstone Pentahydrate
3x Orirock Concentration
4x Polymerization Preparation
3x Optimized Device
8x RMA70-24
3x Sugar Lump
4x Bipolar Nanoflake";142;174
Folinic;15.2;5;1;3;0;0;0;"8x Skill Summary - 1
7x Ester
18x Skill Summary - 2
3x Oriron
4x Polyketon
4x Coagulating Gel
6x Skill Summary - 3
2x Aketon
4x Loxic Kohl";"20000x LMD
4x Medic Chip
5x Polyester
2x Polyketon";"120000x LMD
3x Medic Dualchip
8x Keton Colloid
8x Integrated Device";"140000x LMD
4x Medic Chip
5x Polyester
2x Polyketon
3x Medic Dualchip
8x Keton Colloid
8x Integrated Device";"42x Skill Summary - 3
7x Grindstone Pentahydrate
4x Loxic Kohl
6x Optimized Device
5x Oriron Block
8x Bipolar Nanoflake
3x Orirock Concentration
4x Grindstone
3x Manganese Trihydrate
3x Keton Colloid";"8x Skill Summary - 1
7x Ester
18x Skill Summary - 2
3x Oriron
6x Polyketon
4x Coagulating Gel
48x Skill Summary - 3
2x Aketon
8x Loxic Kohl
140000x LMD
4x Medic Chip
5x Polyester
3x Medic Dualchip
11x Keton Colloid
8x Integrated Device
7x Grindstone Pentahydrate
6x Optimized Device
5x Oriron Block
8x Bipolar Nanoflake
3x Orirock Concentration
4x Grindstone
3x Manganese Trihydrate";"8x Skill Summary - 1
7x Ester
20000x LMD
4x Medic Chip
5x Polyester
2x Polyketon";"18x Skill Summary - 2
3x Oriron
4x Polyketon
4x Coagulating Gel
48x Skill Summary - 3
2x Aketon
8x Loxic Kohl
120000x LMD
3x Medic Dualchip
11x Keton Colloid
8x Integrated Device
7x Grindstone Pentahydrate
6x Optimized Device
5x Oriron Block
8x Bipolar Nanoflake
3x Orirock Concentration
4x Grindstone
3x Manganese Trihydrate";145;171
Flint;36.52;5;1;7;0;0;0;"8x Skill Summary - 1
5x Diketon
18x Skill Summary - 2
3x Oriron
4x Polyketon
3x Grindstone
6x Skill Summary - 3
2x Aketon
4x Loxic Kohl";"20000x LMD
4x Guard Chip
5x Polyester
3x Oriron";"120000x LMD
3x Guard Dualchip
8x Orirock Concentration
15x Grindstone";"140000x LMD
4x Guard Chip
5x Polyester
3x Oriron
3x Guard Dualchip
8x Orirock Concentration
15x Grindstone";"42x Skill Summary - 3
3x Orirock Concentration
4x Grindstone
11x Keton Colloid
6x Polymerized Gel
8x Bipolar Nanoflake
3x Incandescent Alloy Block
3x RMA70-12
3x White Horse Kohl
4x Grindstone Pentahydrate";"8x Skill Summary - 1
5x Diketon
18x Skill Summary - 2
6x Oriron
4x Polyketon
22x Grindstone
48x Skill Summary - 3
2x Aketon
4x Loxic Kohl
140000x LMD
4x Guard Chip
5x Polyester
3x Guard Dualchip
11x Orirock Concentration
11x Keton Colloid
6x Polymerized Gel
8x Bipolar Nanoflake
3x Incandescent Alloy Block
3x RMA70-12
3x White Horse Kohl
4x Grindstone Pentahydrate";"8x Skill Summary - 1
5x Diketon
18x Skill Summary - 2
6x Oriron
4x Polyketon
3x Grindstone
6x Skill Summary - 3
2x Aketon
4x Loxic Kohl
20000x LMD
4x Guard Chip
5x Polyester";"19x Grindstone
42x Skill Summary - 3
120000x LMD
3x Guard Dualchip
11x Orirock Concentration
11x Keton Colloid
6x Polymerized Gel
8x Bipolar Nanoflake
3x Incandescent Alloy Block
3x RMA70-12
3x White Horse Kohl
4x Grindstone Pentahydrate";113;178
Flamebringer;0.0;5;0;0;0;0;0;"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
3x Sugar
5x Polyester
3x RMA70-12
6x Skill Summary - 3
4x Orirock Cluster
2x Integrated Device";"20000x LMD
4x Guard Chip
6x Orirock Cube
3x Polyketon";"120000x LMD
3x Guard Dualchip
9x White Horse Kohl
13x Manganese Ore";"140000x LMD
4x Guard Chip
6x Orirock Cube
3x Polyketon
3x Guard Dualchip
9x White Horse Kohl
13x Manganese Ore";"42x Skill Summary - 3
8x Sugar Lump
3x RMA70-12
6x Oriron Block
4x D32 Steel
8x Polyester Lump
4x Orirock Cluster
3x Keton Colloid
4x Polymerization Preparation
4x Manganese Trihydrate";"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
3x Sugar
5x Polyester
6x RMA70-12
48x Skill Summary - 3
8x Orirock Cluster
2x Integrated Device
140000x LMD
4x Guard Chip
6x Orirock Cube
3x Polyketon
3x Guard Dualchip
9x White Horse Kohl
13x Manganese Ore
8x Sugar Lump
6x Oriron Block
4x D32 Steel
8x Polyester Lump
3x Keton Colloid
4x Polymerization Preparation
4x Manganese Trihydrate";;"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
3x Sugar
5x Polyester
6x RMA70-12
48x Skill Summary - 3
8x Orirock Cluster
2x Integrated Device
140000x LMD
4x Guard Chip
6x Orirock Cube
3x Polyketon
3x Guard Dualchip
9x White Horse Kohl
13x Manganese Ore
8x Sugar Lump
6x Oriron Block
4x D32 Steel
8x Polyester Lump
3x Keton Colloid
4x Polymerization Preparation
4x Manganese Trihydrate";183;183
Firewatch;36.0;5;1;7;0;0;0;"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
4x Loxic Kohl
6x Skill Summary - 3
2x Manganese Ore
3x RMA70-12";"20000x LMD
4x Sniper Chip
3x Device
2x Polyketon";"120000x LMD
3x Sniper Dualchip
7x Polyester Lump
15x Loxic Kohl";"140000x LMD
4x Sniper Chip
3x Device
2x Polyketon
3x Sniper Dualchip
7x Polyester Lump
15x Loxic Kohl";"42x Skill Summary - 3
9x Grindstone Pentahydrate
4x Loxic Kohl
7x Orirock Concentration
4x Bipolar Nanoflake
8x RMA70-24
2x Manganese Ore
3x Sugar Lump
4x D32 Steel
4x Polyester Lump";"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
23x Loxic Kohl
48x Skill Summary - 3
4x Manganese Ore
3x RMA70-12
140000x LMD
4x Sniper Chip
3x Device
2x Polyketon
3x Sniper Dualchip
11x Polyester Lump
9x Grindstone Pentahydrate
7x Orirock Concentration
4x Bipolar Nanoflake
8x RMA70-24
3x Sugar Lump
4x D32 Steel";"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
4x Loxic Kohl
6x Skill Summary - 3
2x Manganese Ore
3x RMA70-12
20000x LMD
4x Sniper Chip
3x Device
2x Polyketon";"19x Loxic Kohl
42x Skill Summary - 3
2x Manganese Ore
120000x LMD
3x Sniper Dualchip
11x Polyester Lump
9x Grindstone Pentahydrate
7x Orirock Concentration
4x Bipolar Nanoflake
8x RMA70-24
3x Sugar Lump
4x D32 Steel";112;175
FEater;12.57;5;1;3;0;0;0;"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
5x Polyester Pack
6x Skill Summary - 3
2x Oriron Cluster
3x Grindstone";"20000x LMD
4x Specialist Chip
3x Device
3x Sugar";"120000x LMD
3x Specialist Dualchip
8x Grindstone Pentahydrate
15x Polyester Pack";"140000x LMD
4x Specialist Chip
3x Device
3x Sugar
3x Specialist Dualchip
8x Grindstone Pentahydrate
15x Polyester Pack";"42x Skill Summary - 3
8x Keton Colloid
3x Polyester Pack
8x White Horse Kohl
4x Bipolar Nanoflake
6x Manganese Trihydrate
6x Optimized Device
3x Oriron Cluster
4x D32 Steel";"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
8x Sugar
23x Polyester Pack
48x Skill Summary - 3
5x Oriron Cluster
3x Grindstone
140000x LMD
4x Specialist Chip
3x Device
3x Specialist Dualchip
8x Grindstone Pentahydrate
8x Keton Colloid
8x White Horse Kohl
4x Bipolar Nanoflake
6x Manganese Trihydrate
6x Optimized Device
4x D32 Steel";"8x Skill Summary - 1
4x Damaged Device
20000x LMD
4x Specialist Chip
3x Device
3x Sugar";"18x Skill Summary - 2
4x Orirock Cube
5x Sugar
23x Polyester Pack
48x Skill Summary - 3
5x Oriron Cluster
3x Grindstone
120000x LMD
3x Specialist Dualchip
8x Grindstone Pentahydrate
8x Keton Colloid
8x White Horse Kohl
4x Bipolar Nanoflake
6x Manganese Trihydrate
6x Optimized Device
4x D32 Steel";153;175
Executor;26.47;5;1;5;0;0;0;"8x Skill Summary - 1
7x Sugar Substitute
18x Skill Summary - 2
3x Polyester
4x Oriron
5x Orirock Cluster
6x Skill Summary - 3
3x Sugar Pack
3x Oriron Cluster";"20000x LMD
4x Sniper Chip
5x Sugar
2x Device";"120000x LMD
3x Sniper Dualchip
8x Manganese Trihydrate
9x Grindstone";"140000x LMD
4x Sniper Chip
5x Sugar
2x Device
3x Sniper Dualchip
8x Manganese Trihydrate
9x Grindstone";"42x Skill Summary - 3
8x Oriron Block
1x Sugar Pack
5x Optimized Device
4x Bipolar Nanoflake
4x Grindstone Pentahydrate
8x Keton Colloid
3x Polyester Pack
3x White Horse Kohl
4x D32 Steel";"8x Skill Summary - 1
7x Sugar Substitute
18x Skill Summary - 2
3x Polyester
4x Oriron
5x Orirock Cluster
48x Skill Summary - 3
4x Sugar Pack
3x Oriron Cluster
140000x LMD
4x Sniper Chip
5x Sugar
2x Device
3x Sniper Dualchip
8x Manganese Trihydrate
9x Grindstone
8x Oriron Block
5x Optimized Device
4x Bipolar Nanoflake
4x Grindstone Pentahydrate
8x Keton Colloid
3x Polyester Pack
3x White Horse Kohl
4x D32 Steel";"8x Skill Summary - 1
7x Sugar Substitute
12x Skill Summary - 2
3x Polyester
4x Oriron
20000x LMD
4x Sniper Chip
5x Sugar
2x Device";"6x Skill Summary - 2
5x Orirock Cluster
48x Skill Summary - 3
4x Sugar Pack
3x Oriron Cluster
120000x LMD
3x Sniper Dualchip
8x Manganese Trihydrate
9x Grindstone
8x Oriron Block
5x Optimized Device
4x Bipolar Nanoflake
4x Grindstone Pentahydrate
8x Keton Colloid
3x Polyester Pack
3x White Horse Kohl
4x D32 Steel";125;170
Elysium;44.2;5;1;7;1;0;0;"8x Skill Summary - 1
7x Ester
18x Skill Summary - 2
3x Oriron
4x Polyketon
3x Integrated Device
6x Skill Summary - 3
2x Grindstone
4x Orirock Cluster";"20000x LMD
4x Vanguard Chip
4x Polyester
3x Sugar";"120000x LMD
3x Vanguard Dualchip
7x Incandescent Alloy Block
16x Aketon";"140000x LMD
4x Vanguard Chip
4x Polyester
3x Sugar
3x Vanguard Dualchip
7x Incandescent Alloy Block
16x Aketon";"42x Skill Summary - 3
9x Polymerized Gel
6x Orirock Cluster
3x Incandescent Alloy Block
5x RMA70-24
4x D32 Steel
7x Keton Colloid
2x Optimized Device
3x Oriron Cluster
4x Polymerization Preparation
4x Grindstone Pentahydrate";"8x Skill Summary - 1
7x Ester
18x Skill Summary - 2
3x Oriron
4x Polyketon
3x Integrated Device
48x Skill Summary - 3
2x Grindstone
10x Orirock Cluster
140000x LMD
4x Vanguard Chip
4x Polyester
3x Sugar
3x Vanguard Dualchip
10x Incandescent Alloy Block
16x Aketon
9x Polymerized Gel
5x RMA70-24
4x D32 Steel
7x Keton Colloid
2x Optimized Device
3x Oriron Cluster
4x Polymerization Preparation
4x Grindstone Pentahydrate";"8x Skill Summary - 1
7x Ester
18x Skill Summary - 2
3x Oriron
4x Polyketon
3x Integrated Device
11x Skill Summary - 3
2x Grindstone
10x Orirock Cluster
20000x LMD
4x Vanguard Chip
4x Polyester
3x Sugar
3x Polymerized Gel";"37x Skill Summary - 3
120000x LMD
3x Vanguard Dualchip
10x Incandescent Alloy Block
16x Aketon
6x Polymerized Gel
5x RMA70-24
4x D32 Steel
7x Keton Colloid
2x Optimized Device
3x Oriron Cluster
4x Polymerization Preparation
4x Grindstone Pentahydrate";101;181
Croissant;15.12;5;1;3;0;0;0;"8x Skill Summary - 1
7x Ester
18x Skill Summary - 2
3x Oriron
4x Polyketon
4x Oriron Cluster
6x Skill Summary - 3
2x Aketon
4x Loxic Kohl";"20000x LMD
4x Defender Chip
4x Polyester
3x Sugar";"120000x LMD
3x Defender Dualchip
8x RMA70-24
8x Integrated Device";"140000x LMD
4x Defender Chip
4x Polyester
3x Sugar
3x Defender Dualchip
8x RMA70-24
8x Integrated Device";"42x Skill Summary - 3
6x Optimized Device
3x Oriron Cluster
3x Manganese Trihydrate
4x D32 Steel
4x Sugar Lump
9x White Horse Kohl
5x Aketon
3x Grindstone Pentahydrate
4x Bipolar Nanoflake
3x RMA70-24";"8x Skill Summary - 1
7x Ester
18x Skill Summary - 2
3x Oriron
4x Polyketon
7x Oriron Cluster
48x Skill Summary - 3
7x Aketon
4x Loxic Kohl
140000x LMD
4x Defender Chip
4x Polyester
3x Sugar
3x Defender Dualchip
11x RMA70-24
8x Integrated Device
6x Optimized Device
3x Manganese Trihydrate
4x D32 Steel
4x Sugar Lump
9x White Horse Kohl
3x Grindstone Pentahydrate
4x Bipolar Nanoflake";"8x Skill Summary - 1
7x Ester
20000x LMD
4x Defender Chip
4x Polyester
3x Sugar";"18x Skill Summary - 2
3x Oriron
4x Polyketon
7x Oriron Cluster
48x Skill Summary - 3
7x Aketon
4x Loxic Kohl
120000x LMD
3x Defender Dualchip
11x RMA70-24
8x Integrated Device
6x Optimized Device
3x Manganese Trihydrate
4x D32 Steel
4x Sugar Lump
9x White Horse Kohl
3x Grindstone Pentahydrate
4x Bipolar Nanoflake";146;172
Cliffheart;40.33;5;1;7;0;0;0;"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
3x Sugar
5x Polyester
4x Manganese Ore
6x Skill Summary - 3
2x Grindstone
4x Orirock Cluster";"20000x LMD
4x Specialist Chip
6x Orirock Cube
3x Polyester";"120000x LMD
3x Specialist Dualchip
6x Oriron Block
13x Manganese Ore";"140000x LMD
4x Specialist Chip
6x Orirock Cube
3x Polyester
3x Specialist Dualchip
6x Oriron Block
13x Manganese Ore";"42x Skill Summary - 3
8x RMA70-24
2x Manganese Ore
3x Sugar Lump
4x D32 Steel
7x Polyester Lump
9x Orirock Concentration
4x Grindstone
4x Polymerization Preparation
3x Optimized Device";"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
3x Sugar
8x Polyester
19x Manganese Ore
48x Skill Summary - 3
6x Grindstone
4x Orirock Cluster
140000x LMD
4x Specialist Chip
6x Orirock Cube
3x Specialist Dualchip
6x Oriron Block
8x RMA70-24
3x Sugar Lump
4x D32 Steel
7x Polyester Lump
9x Orirock Concentration
4x Polymerization Preparation
3x Optimized Device";"8x Skill Summary - 1
10x Orirock
18x Skill Summary - 2
3x Sugar
8x Polyester
4x Manganese Ore
6x Skill Summary - 3
2x Grindstone
4x Orirock Cluster
20000x LMD
4x Specialist Chip
6x Orirock Cube";"15x Manganese Ore
42x Skill Summary - 3
4x Grindstone
120000x LMD
3x Specialist Dualchip
6x Oriron Block
8x RMA70-24
3x Sugar Lump
4x D32 Steel
7x Polyester Lump
9x Orirock Concentration
4x Polymerization Preparation
3x Optimized Device";108;181
Chiave;18.6;5;1;4;0;0;0;"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
4x Aketon
6x Skill Summary - 3
2x Manganese Ore
3x RMA70-12";"20000x LMD
4x Vanguard Chip
3x Device
3x Sugar";"120000x LMD
3x Vanguard Dualchip
7x Manganese Trihydrate
13x Grindstone";"140000x LMD
4x Vanguard Chip
3x Device
3x Sugar
3x Vanguard Dualchip
7x Manganese Trihydrate
13x Grindstone";"42x Skill Summary - 3
3x Polymerized Gel
6x Orirock Cluster
8x Manganese Trihydrate
4x Optimized Device
4x D32 Steel
6x Oriron Block
1x Incandescent Alloy
3x RMA70-24
4x Bipolar Nanoflake
4x Grindstone Pentahydrate";"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
8x Sugar
4x Aketon
48x Skill Summary - 3
2x Manganese Ore
3x RMA70-12
140000x LMD
4x Vanguard Chip
3x Device
3x Vanguard Dualchip
15x Manganese Trihydrate
13x Grindstone
3x Polymerized Gel
6x Orirock Cluster
4x Optimized Device
4x D32 Steel
6x Oriron Block
1x Incandescent Alloy
3x RMA70-24
4x Bipolar Nanoflake
4x Grindstone Pentahydrate";"8x Skill Summary - 1
4x Damaged Device
6x Skill Summary - 2
4x Orirock Cube
20000x LMD
4x Vanguard Chip
3x Device
3x Sugar";"12x Skill Summary - 2
5x Sugar
4x Aketon
48x Skill Summary - 3
2x Manganese Ore
3x RMA70-12
120000x LMD
3x Vanguard Dualchip
15x Manganese Trihydrate
13x Grindstone
3x Polymerized Gel
6x Orirock Cluster
4x Optimized Device
4x D32 Steel
6x Oriron Block
1x Incandescent Alloy
3x RMA70-24
4x Bipolar Nanoflake
4x Grindstone Pentahydrate";140;172
Ceylon;13.53;5;1;3;0;0;0;"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
3x Polyketon
3x Device
4x Loxic Kohl
6x Skill Summary - 3
2x Manganese Ore
3x RMA70-12";"20000x LMD
4x Medic Chip
4x Oriron
2x Polyketon";"120000x LMD
3x Medic Dualchip
7x Oriron Block
10x Aketon";"140000x LMD
4x Medic Chip
4x Oriron
2x Polyketon
3x Medic Dualchip
7x Oriron Block
10x Aketon";"42x Skill Summary - 3
3x Grindstone Pentahydrate
4x Loxic Kohl
3x Sugar Lump
8x RMA70-24
4x Polymerization Preparation
5x White Horse Kohl
2x Manganese Ore
7x Polyester Lump
6x Orirock Concentration
4x Bipolar Nanoflake";"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
5x Polyketon
3x Device
8x Loxic Kohl
48x Skill Summary - 3
4x Manganese Ore
3x RMA70-12
140000x LMD
4x Medic Chip
4x Oriron
3x Medic Dualchip
7x Oriron Block
10x Aketon
3x Grindstone Pentahydrate
3x Sugar Lump
8x RMA70-24
4x Polymerization Preparation
5x White Horse Kohl
7x Polyester Lump
6x Orirock Concentration
4x Bipolar Nanoflake";"8x Skill Summary - 1
5x Oriron Shard
20000x LMD
4x Medic Chip
4x Oriron
2x Polyketon";"18x Skill Summary - 2
3x Polyketon
3x Device
8x Loxic Kohl
48x Skill Summary - 3
4x Manganese Ore
3x RMA70-12
120000x LMD
3x Medic Dualchip
7x Oriron Block
10x Aketon
3x Grindstone Pentahydrate
3x Sugar Lump
8x RMA70-24
4x Polymerization Preparation
5x White Horse Kohl
7x Polyester Lump
6x Orirock Concentration
4x Bipolar Nanoflake";147;170
